BusinessDate,NetAmount_summary
03-11-2023,201.6667
24-02-2023,148.7084
25-08-2023,275.8331
23-06-2023,128.7499
12-05-2023,173.7498
01-09-2023,17.2916
22-02-2023,65.8334
06-10-2023,64.4999
30-09-2023,153.7499
21-06-2023,58.2916
12-07-2023,182.3333
11-07-2023,204.9999
05-02-2023,21.6666
29-08-2023,175.0
07-10-2023,30.0
11-02-2023,186.0833
08-08-2023,284.1664
08-07-2023,102.0832
09-09-2023,802.0831
03-06-2023,100.0
15-06-2023,117.8334
04-03-2023,168.3333
19-05-2023,166.2083
18-08-2023,17.9166
05-07-2023,144.5832
16-09-2023,53.3333
14-06-2023,222.5
04-02-2023,331.9668
01-10-2023,266.6667
21-10-2023,149.5833
08-03-2023,111.6249
28-05-2023,32.4167
17-08-2023,61.6666
11-07-2023,176.2499
03-11-2023,286.2499
12-10-2023,298.7501
20-09-2023,201.0415
23-09-2023,86.6666
28-05-2023,392.4582
30-06-2023,74.7917
18-04-2023,134.1666
08-07-2023,1359.4167
21-05-2023,1548.4582
11-02-2023,129.8334
16-02-2023,85.0001
25-10-2023,152.5001
28-04-2023,22.0833
05-01-2023,346.3332
23-05-2023,407.8749
14-10-2023,41.6667
29-04-2023,111.625
27-01-2023,99.6499
09-09-2023,146.2499
05-05-2023,81.6665
03-02-2023,100.6665
25-03-2023,43.625
12-01-2023,96.9166
23-11-2023,177.4997
01-04-2023,264.5001
21-05-2023,157.4999
05-05-2023,291.2501
03-05-2023,149.5833
30-03-2023,161.2499
23-02-2023,161.625
29-04-2023,71.5832
27-05-2023,5.4167
08-08-2023,57.5
29-04-2023,0.0
11-02-2023,68.0667
04-04-2023,17.3333
26-07-2023,32.5
12-05-2023,116.6667
25-06-2023,119.1667
28-01-2023,125.0666
18-04-2023,247.1001
12-07-2023,72.0833
10-06-2023,5416.6638
07-07-2023,78.4583
26-03-2023,331.4585
25-02-2023,189.5833
15-04-2023,308.6667
07-07-2023,233.3333
04-02-2023,8.9167
28-09-2023,90.4167
22-08-2023,197.25
03-09-2023,86.3333
21-06-2023,26.25
22-02-2023,154.6001
13-01-2023,195.4583
29-04-2023,226.0416
27-10-2023,251.25
17-06-2023,170.3333
18-06-2023,222.2916
03-03-2023,229.9999
18-05-2023,202.8334
04-08-2023,112.9165
03-05-2023,317.9583
08-07-2023,1359.4167
17-06-2023,100.4167
25-03-2023,17.9167
18-04-2023,247.1001
15-06-2023,79.1249
24-02-2023,148.7084
01-07-2023,224.5833
17-05-2023,157.0836
02-03-2023,50.0
12-09-2023,337.4998
28-07-2023,161.6667
23-06-2023,65.0
25-11-2023,68.7499
11-07-2023,76.3333
24-08-2023,923.5495
09-02-2023,146.9165
08-09-2023,245.8334
24-08-2023,88.75
04-02-2023,107.9833
10-11-2023,126.0416
12-10-2023,240.4168
19-05-2023,150.4166
31-08-2023,167.5
12-08-2023,205.8333
23-03-2023,125.4168
06-01-2023,249.625
15-03-2023,411.5835
10-02-2023,145.5666
10-06-2023,5416.6638
02-02-2023,123.7333
16-07-2023,82.7083
15-06-2023,441.6249
05-01-2023,82.5
25-08-2023,119.5831
08-03-2023,228.6666
19-08-2023,109.1666
14-01-2023,85.1665
14-01-2023,103.9582
14-02-2023,73.6667
03-02-2023,703.4667
28-01-2023,141.5
08-09-2023,90.4165
06-01-2023,187.5415
11-02-2023,100.15
25-06-2023,65.0
29-07-2023,57.4999
15-10-2023,102.9166
05-08-2023,79.1666
20-05-2023,189.9583
22-08-2023,96.6666
02-06-2023,280.7917
13-04-2023,235.8332
07-06-2023,150.3749
01-11-2023,291.2498
07-10-2023,165.8333
22-02-2023,76.6667
20-10-2023,207.4998
08-11-2023,92.0833
27-06-2023,99.5832
14-06-2023,111.625
08-09-2023,245.8334
06-06-2023,166.2083
16-03-2023,184.1666
14-07-2023,369.5834
03-05-2023,232.8751
18-06-2023,178.125
19-01-2023,236.0668
23-02-2023,200.9333
01-03-2023,80.3001
01-10-2023,116.4582
26-01-2023,80.6666
28-07-2023,233.333
16-06-2023,245.3749
23-03-2023,415.3334
13-09-2023,142.9166
22-04-2023,180.4167
05-07-2023,169.9999
05-08-2023,103.5416
29-09-2023,256.6666
10-09-2023,200.8333
13-05-2023,0.0
19-05-2023,26.25
08-07-2023,105.0001
07-05-2023,60.3749
26-05-2023,211.6667
10-06-2023,87.7083
21-05-2023,1548.4582
04-10-2023,128.7499
17-06-2023,100.4167
11-08-2023,119.9999
10-03-2023,130.6333
18-04-2023,298.2916
11-06-2023,0.0
15-06-2023,132.0832
04-01-2023,0.0
16-09-2023,94.5832
04-11-2023,218.3332
29-04-2023,226.0416
22-08-2023,97.9166
24-06-2023,108.3333
21-04-2023,65.0249
20-05-2023,22.0833
06-01-2023,108.7915
25-06-2023,102.0833
09-09-2023,70.0
11-02-2023,68.0667
21-01-2023,0.0
27-01-2023,208.5665
13-01-2023,357.2335
08-07-2023,53.3333
15-02-2023,135.375
21-06-2023,57.0833
04-02-2023,331.9668
04-03-2023,195.3417
12-08-2023,117.9166
30-05-2023,89.1665
18-08-2023,30.4166
18-11-2023,154.1665
20-05-2023,115.4167
16-09-2023,264.5834
07-02-2023,212.8333
30-09-2023,166.2499
30-03-2023,439.9585
11-03-2023,427.4167
28-02-2023,266.2084
13-05-2023,164.5832
24-02-2023,70.3751
27-05-2023,479.0002
26-07-2023,0.0
18-03-2023,0.0
12-07-2023,83.3333
03-06-2023,207.4998
08-07-2023,1359.4167
25-10-2023,60.4167
05-02-2023,21.6666
21-01-2023,173.0667
08-02-2023,1137.4997
15-06-2023,532.8331
25-03-2023,99.7499
18-04-2023,298.2916
09-09-2023,146.2499
02-11-2023,123.75
18-05-2023,127.6665
13-01-2023,57.9583
06-07-2023,429.5833
23-05-2023,62.4583
24-10-2023,157.0832
02-03-2023,694.4167
19-05-2023,180.8332
29-06-2023,0.0
29-07-2023,194.1666
21-10-2023,1851.4575
23-07-2023,63.75
10-05-2023,297.458
30-07-2023,317.4996
23-06-2023,93.7499
30-03-2023,169.9584
06-04-2023,167.4583
15-09-2023,50.8334
20-10-2023,117.9167
10-01-2023,100.625
31-01-2023,159.1666
03-06-2023,66.6248
06-06-2023,166.2083
01-04-2023,162.0
03-02-2023,125.4582
21-07-2023,0.0
23-02-2023,95.375
01-02-2023,175.7999
03-03-2023,170.7916
21-04-2023,319.1249
01-03-2023,243.2916
19-10-2023,189.5831
11-03-2023,104.1667
17-10-2023,296.4583
02-06-2023,158.2083
20-05-2023,221.6249
17-08-2023,0.0
06-05-2023,4.5833
05-10-2023,283.3333
06-11-2023,94.1666
27-05-2023,93.1666
22-06-2023,191.2082
16-08-2023,5.0
23-08-2023,96.6666
21-01-2023,243.1499
31-08-2023,595.2082
10-11-2023,186.2497
03-01-2023,109.8333
29-04-2023,313.7081
25-07-2023,107.7083
29-06-2023,193.7499
07-09-2023,173.3334
11-11-2023,415.8332
18-11-2023,362.0833
30-07-2023,167.0833
14-02-2023,24.1667
07-03-2023,103.2916
19-07-2023,168.75
29-09-2023,141.8748
02-11-2023,129.1666
09-02-2023,109.8167
20-01-2023,66.0415
27-05-2023,32.5001
14-10-2023,71.6667
11-08-2023,110.4166
07-03-2023,244.9582
24-09-2023,195.2499
24-08-2023,923.5495
04-03-2023,265.0
23-07-2023,97.9167
09-03-2023,177.4582
22-07-2023,0.0
25-10-2023,195.4166
20-08-2023,139.1667
11-11-2023,131.25
28-06-2023,61.4584
06-04-2023,127.6334
10-11-2023,42.0833
25-05-2023,236.6664
30-03-2023,233.3333
05-09-2023,154.1666
29-08-2023,192.0833
15-07-2023,102.2915
21-10-2023,1851.4575
07-04-2023,234.5417
17-05-2023,148.75
22-03-2023,441.9998
14-01-2023,56.2499
08-02-2023,215.4832
19-05-2023,117.8749
18-03-2023,249.3332
05-10-2023,286.6666
30-06-2023,152.5
04-03-2023,148.75
03-06-2023,195.7916
23-09-2023,205.8333
03-03-2023,170.7916
17-03-2023,104.9334
15-03-2023,378.6668
10-11-2023,201.2502
11-11-2023,98.7499
29-04-2023,10.0
16-02-2023,237.0419
11-02-2023,33.9166
17-11-2023,153.7499
29-09-2023,0.0
18-07-2023,0.0
12-05-2023,260.3749
29-08-2023,116.2498
20-05-2023,228.7084
02-07-2023,224.1667
18-02-2023,35.7917
09-06-2023,165.375
04-07-2023,93.7501
24-02-2023,224.5418
09-05-2023,202.9166
15-04-2023,93.7499
18-11-2023,74.5834
31-08-2023,459.7916
07-02-2023,212.8333
13-01-2023,236.2917
23-06-2023,168.7499
28-10-2023,31.6666
22-04-2023,117.9165
