BusinessDate,CompanyCode,SiteCode,GrossAmount,temp,humidity,precip,snow,holiday,weekend
2023-07-23,C1061,L1098,2146.3,18.5,79.3,4.281,0.0,0,1
2023-07-25,C1061,L1098,5113.5,15.8,67.3,0.059,0.0,0,0
2023-07-26,C1061,L1098,7739.43,16.2,69.9,7.005,0.0,0,0
2023-07-27,C1061,L1098,9282.81,19.3,85.0,2.417,0.0,0,0
2023-07-28,C1061,L1098,9484.5,19.4,75.0,0.0,0.0,0,0
2023-07-29,C1061,L1098,10042.2,19.1,67.9,0.201,0.0,0,1
2023-07-30,C1061,L1098,6888.09,17.4,76.4,0.227,0.0,0,1
2023-08-01,C1061,L1098,7593.83,17.9,71.7,0.993,0.0,0,0
2023-08-02,C1061,L1098,7838.8,17.1,86.9,7.306,0.0,0,0
2023-08-03,C1061,L1098,7818.94,18.0,69.1,5.766,0.0,0,0
2023-08-04,C1061,L1098,10571.07,17.1,72.1,0.0,0.0,0,0
2023-08-05,C1061,L1098,10786.64,15.2,83.0,0.079,0.0,0,1
2023-08-06,C1061,L1098,4374.7,15.8,68.1,6.162,0.0,0,1
2023-08-08,C1061,L1098,4879.0,15.2,85.4,0.018,0.0,0,0
2023-08-09,C1061,L1098,9416.02,18.1,72.1,2.983,0.0,0,0
2023-08-10,C1061,L1098,7516.2,20.7,68.4,0.0,0.0,0,0
2023-08-11,C1061,L1098,7460.36,21.1,71.1,0.0,0.0,0,0
2023-08-12,C1061,L1098,8491.49,18.6,72.1,0.0,0.0,0,1
2023-08-13,C1061,L1098,4332.12,18.7,68.6,0.003,0.0,0,1
2023-08-15,C1061,L1098,5295.8,18.6,71.9,0.0,0.0,0,0
2023-08-16,C1061,L1098,8010.19,20.0,64.8,0.198,0.0,0,0
2023-08-17,C1061,L1098,8650.54,19.7,72.3,0.0,0.0,0,0
2023-08-18,C1061,L1098,8364.39,20.2,79.8,0.026,0.0,0,0
2023-08-19,C1061,L1098,10507.27,20.4,73.6,0.011,0.0,0,1
2023-08-20,C1061,L1098,3178.0,19.8,69.7,0.0,0.0,0,1
2023-08-22,C1061,L1098,6592.45,20.0,68.6,0.0,0.0,0,0
2023-08-23,C1061,L1098,9948.11,21.1,62.5,0.0,0.0,0,0
2023-08-24,C1061,L1098,11363.0,20.3,74.9,0.005,0.0,0,0
